GPS1.UTCGregorian         Receiver.EarthFixedCS.X   Receiver.EarthFixedCS.Y   Receiver.EarthFixedCS.Z   
01 Jan 2026 12:43:00.000   -673.7423292753998        -5487.190928687631        3170.456502511081         
01 Jan 2026 12:44:00.000   -673.7423286777619        -5487.190927942031        3170.45650392851          
01 Jan 2026 12:45:00.000   -673.7423292815595        -5487.190928682755        3170.45650251821          
01 Jan 2026 12:46:00.000   -673.7423286777617        -5487.19092794203         3170.456503928509         
01 Jan 2026 12:47:00.000   -673.7423292876795        -5487.190928677828        3170.456502525437         
01 Jan 2026 12:48:00.000   -673.7423286777621        -5487.190927942031        3170.45650392851          
01 Jan 2026 12:49:00.000   -673.7423292937608        -5487.190928672851        3170.45650253276          
01 Jan 2026 12:50:00.000   -673.7423286777617        -5487.190927942032        3170.456503928511         
01 Jan 2026 12:51:00.000   -673.7423292997976        -5487.19092866782         3170.456502540178         
01 Jan 2026 12:52:00.000   -673.7423286777625        -5487.190927942031        3170.456503928509         
01 Jan 2026 12:53:00.000   -673.7423293057952        -5487.190928662743        3170.456502547691         
01 Jan 2026 12:54:00.000   -673.7423286777625        -5487.190927942032        3170.456503928509         
01 Jan 2026 12:55:00.000   -673.7423293117471        -5487.190928657616        3170.4565025553           
01 Jan 2026 12:56:00.000   -673.7423286777608        -5487.190927942031        3170.456503928511         
01 Jan 2026 12:57:00.000   -673.7423293176602        -5487.190928652441        3170.456502563004         
01 Jan 2026 12:58:00.000   -673.742328677762         -5487.190927942033        3170.45650392851          
01 Jan 2026 12:59:00.000   -673.7423293235302        -5487.190928647216        3170.456502570799         
01 Jan 2026 13:00:00.000   -673.7423286777623        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:01:00.000   -673.7423293293596        -5487.190928641942        3170.456502578689         
01 Jan 2026 13:02:00.000   -673.7423286777615        -5487.190927942031        3170.45650392851          
01 Jan 2026 13:03:00.000   -673.7423293351469        -5487.19092863662         3170.45650258667          
01 Jan 2026 13:04:00.000   -673.742328677761         -5487.190927942029        3170.45650392851          
01 Jan 2026 13:05:00.000   -673.7423293408866        -5487.190928631249        3170.456502594744         
01 Jan 2026 13:06:00.000   -673.742328677763         -5487.190927942034        3170.456503928511         
01 Jan 2026 13:07:00.000   -673.7423293465905        -5487.190928625833        3170.45650260291          
01 Jan 2026 13:08:00.000   -673.7423286777622        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:09:00.000   -673.7423293522438        -5487.190928620364        3170.456502611167         
01 Jan 2026 13:10:00.000   -673.7423286777624        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:11:00.000   -673.7423293578498        -5487.190928614856        3170.456502619515         
01 Jan 2026 13:12:00.000   -673.7423286777615        -5487.190927942032        3170.456503928509         
01 Jan 2026 13:13:00.000   -673.7423293634122        -5487.190928609296        3170.456502627952         
01 Jan 2026 13:14:00.000   -673.7423286777622        -5487.190927942032        3170.456503928509         
01 Jan 2026 13:15:00.000   -673.7423293689315        -5487.190928603692        3170.456502636479         
01 Jan 2026 13:16:00.000   -673.7423286777636        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:17:00.000   -673.7423293744044        -5487.190928598042        3170.456502645094         
01 Jan 2026 13:18:00.000   -673.7423286777628        -5487.190927942028        3170.456503928509         
01 Jan 2026 13:19:00.000   -673.7423293798336        -5487.190928592348        3170.456502653797         
01 Jan 2026 13:20:00.000   -673.7423286777628        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:21:00.000   -673.7423293852065        -5487.190928586609        3170.45650266259          
01 Jan 2026 13:22:00.000   -673.7423286777616        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:23:00.000   -673.7423293905427        -5487.190928580822        3170.456502671467         
01 Jan 2026 13:24:00.000   -673.7423286777621        -5487.190927942033        3170.45650392851          
01 Jan 2026 13:25:00.000   -673.7423293958293        -5487.190928574992        3170.456502680433         
01 Jan 2026 13:26:00.000   -673.7423286777624        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:27:00.000   -673.7423294010661        -5487.190928569119        3170.456502689483         
01 Jan 2026 13:28:00.000   -673.7423286777617        -5487.190927942033        3170.456503928511         
01 Jan 2026 13:29:00.000   -673.7423294062537        -5487.190928563206        3170.456502698621         
01 Jan 2026 13:30:00.000   -673.7423286777631        -5487.190927942033        3170.45650392851          
01 Jan 2026 13:31:00.000   -673.7423294113964        -5487.190928557247        3170.456502707842         
01 Jan 2026 13:32:00.000   -673.7423286777614        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:33:00.000   -673.7423294164903        -5487.190928551245        3170.456502717146         
01 Jan 2026 13:34:00.000   -673.7423286777629        -5487.190927942031        3170.45650392851          
01 Jan 2026 13:35:00.000   -673.7423294215293        -5487.190928545199        3170.456502726535         
01 Jan 2026 13:36:00.000   -673.7423286777625        -5487.190927942033        3170.456503928509         
01 Jan 2026 13:37:00.000   -673.7423294265279        -5487.190928539114        3170.456502736006         
